DS_NAME,N,NL,CLF_NAME,K,TRE,TESTE,E_DIFF,REG/HP
circles,10,0.0,log_reg,0,0.75,0.0,0.75,0.001
circles,10,0.0,log_reg,0,0.75,0.0,0.75,0.01
circles,10,0.0,log_reg,0,0.75,0.0,0.75,0.1
circles,10,0.0,log_reg,0,0.75,0.0,0.75,1.0
circles,10,0.0,log_reg,0,0.875,0.0,0.875,10.0
circles,10,0.0,log_reg,0,1.0,0.0,1.0,100.0
circles,10,0.0,log_reg,0,1.0,0.0,1.0,1000.0
circles,10,0.0,svm,0,0.75,0.0,0.75,0.001
circles,10,0.0,svm,0,0.75,0.0,0.75,0.005
circles,10,0.0,svm,0,0.75,0.0,0.75,0.01
circles,10,0.0,svm,0,0.75,0.0,0.75,0.1
circles,10,0.0,svm,0,0.75,0.0,0.75,0.5
circles,10,0.0,svm,0,0.75,0.0,0.75,1.0
circles,10,0.0,svm,0,1.0,0.0,1.0,5.0
circles,10,0.0,svm,0,1.0,0.0,1.0,10.0
circles,10,0.0,svm,0,1.0,0.0,1.0,100.0
circles,10,0.0,svm,0,1.0,0.0,1.0,1000.0
circles,10,0.0,log_reg,1,0.625,0.5,0.125,0.001
circles,10,0.0,log_reg,1,0.625,0.5,0.125,0.01
circles,10,0.0,log_reg,1,0.625,0.5,0.125,0.1
circles,10,0.0,log_reg,1,0.625,0.5,0.125,1.0
circles,10,0.0,log_reg,1,0.75,0.5,0.25,10.0
circles,10,0.0,log_reg,1,0.75,0.5,0.25,100.0
circles,10,0.0,log_reg,1,0.75,0.5,0.25,1000.0
circles,10,0.0,svm,1,0.625,0.5,0.125,0.001
circles,10,0.0,svm,1,0.625,0.5,0.125,0.005
circles,10,0.0,svm,1,0.625,0.5,0.125,0.01
circles,10,0.0,svm,1,0.625,0.5,0.125,0.1
circles,10,0.0,svm,1,0.625,0.5,0.125,0.5
circles,10,0.0,svm,1,0.75,0.0,0.75,1.0
circles,10,0.0,svm,1,1.0,0.0,1.0,5.0
circles,10,0.0,svm,1,1.0,0.0,1.0,10.0
circles,10,0.0,svm,1,1.0,0.0,1.0,100.0
circles,10,0.0,svm,1,1.0,0.0,1.0,1000.0
circles,10,0.0,log_reg,2,0.625,0.5,0.125,0.001
circles,10,0.0,log_reg,2,0.625,0.5,0.125,0.01
